customerID,gender,SeniorCitizen,SeniorCitizen_trans,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,monthlycharges_bin,TotalCharges,Churn,Churn_flag
7590-VHVEG,Female,0,young,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,21-40,29.85,No,0
5575-GNVDE,Male,0,young,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,41-60,1889.5,No,0
3668-QPYBK,Male,0,young,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,41-60,108.15,Yes,1
7795-CFOCW,Male,0,young,No,No,45,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,41-60,1840.75,No,0
9237-HQITU,Female,0,young,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,61-80,151.65,Yes,1
9305-CDSKC,Female,0,young,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,81-100,820.5,Yes,1
1452-KIOVK,Male,0,young,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,81-100,1949.4,No,0
6713-OKOMC,Female,0,young,No,No,10,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,21-40,301.9,No,0
7892-POOKP,Female,0,young,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,101-120,3046.05,Yes,1
6388-TABGU,Male,0,young,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,41-60,3487.95,No,0
9763-GRSKD,Male,0,young,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,41-60,587.45,No,0
7469-LKBCI,Male,0,young,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,0-20,326.8,No,0
8091-TTVAX,Male,0,young,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,101-120,5681.1,No,0
0280-XJGEX,Male,0,young,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,101-120,5036.3,Yes,1
5129-JLPIS,Male,0,young,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,101-120,2686.05,No,0
3655-SNQYZ,Female,0,young,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,101-120,7895.15,No,0
8191-XWSZG,Female,0,young,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,21-40,1022.95,No,0
9959-WOFKT,Male,0,young,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,101-120,7382.25,No,0
4190-MFLUW,Female,0,young,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,41-60,528.35,Yes,1
4183-MYFRB,Female,0,young,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,81-100,1862.9,No,0
8779-QRDMV,Male,1,senior,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,21-40,39.65,Yes,1
1680-VDCWW,Male,0,young,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,0-20,202.25,No,0
1066-JKSGK,Male,0,young,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,21-40,20.15,Yes,1
3638-WEABW,Female,0,young,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,41-60,3505.1,No,0
6322-HRPFA,Male,0,young,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,41-60,2970.3,No,0
6865-JZNKO,Female,0,young,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,41-60,1530.6,No,0
6467-CHFZW,Male,0,young,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,81-100,4749.15,Yes,1
8665-UTDHZ,Male,0,young,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,21-40,30.2,Yes,1
5248-YGIJN,Male,0,young,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,81-100,6369.45,No,0
8773-HHUOZ,Female,0,young,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,61-80,1093.1,Yes,1
3841-NFECX,Female,1,senior,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,81-100,6766.95,No,0
4929-XIHVW,Male,1,senior,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,81-100,181.65,No,0
6827-IEAUQ,Female,0,young,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,61-80,1874.45,No,0
7310-EGVHZ,Male,0,young,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,21-40,20.2,No,0
3413-BMNZE,Male,1,senior,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,41-60,45.25,No,0
6234-RAAPL,Female,0,young,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,81-100,7251.7,No,0
6047-YHPVI,Male,0,young,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,61-80,316.9,Yes,1
6572-ADKRS,Female,0,young,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,61-80,3548.3,No,0
5380-WJKOV,Male,0,young,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,101-120,3549.25,Yes,1
8168-UQWWF,Female,0,young,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,81-100,1105.4,Yes,1
8865-TNMNX,Male,0,young,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,41-60,475.7,No,0
9489-DEDVP,Female,0,young,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,61-80,4872.35,No,0
9867-JCZSP,Female,0,young,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,21-40,418.25,No,0
4671-VJLCL,Female,0,young,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,61-80,4861.45,No,0
4080-IIARD,Female,0,young,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,61-80,981.45,No,0
3714-NTNFO,Female,0,young,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,81-100,3906.7,No,0
5948-UJZLF,Male,0,young,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,41-60,97,No,0
7760-OYPDY,Female,0,young,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,81-100,144.15,Yes,1
7639-LIAYI,Male,0,young,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,61-80,4217.8,No,0
2954-PIBKO,Female,0,young,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,61-80,4254.1,No,0
8012-SOUDQ,Female,1,senior,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,81-100,3838.75,No,0
9420-LOJKX,Female,0,young,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,81-100,1426.4,Yes,1
6575-SUVOI,Female,1,senior,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,61-80,1752.65,No,0
7495-OOKFY,Female,1,senior,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,81-100,633.3,Yes,1
4667-QONEA,Female,1,senior,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,61-80,4456.35,No,0
1658-BYGOY,Male,1,senior,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,81-100,1752.55,Yes,1
8769-KKTPH,Female,0,young,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,81-100,6311.2,No,0
5067-XJQFU,Male,1,senior,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,101-120,7076.35,No,0
3957-SQXML,Female,0,young,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,21-40,894.3,No,0
5954-BDFSG,Female,0,young,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,101-120,7853.7,No,0
